date,open,close,high,low,volume,amount
2023-08-28,10.277,9.957,10.367,9.927,1997610.0,0
2023-08-29,9.907,9.747,9.927,9.567,1964961.0,0
2023-08-30,9.707,9.567,9.707,9.567,1375638.0,0
2023-08-31,9.577,9.567,9.657,9.557,806474.0,0
2023-09-01,9.627,9.757,9.797,9.627,1138705.0,0
2023-09-04,9.787,9.997,10.027,9.767,1410029.0,0
2023-09-05,9.937,9.827,9.947,9.797,804177.0,0
2023-09-06,9.767,9.867,9.897,9.737,634841.0,0
2023-09-07,9.837,9.767,9.877,9.757,540042.0,0
2023-09-08,9.717,9.707,9.757,9.667,479030.0,0
2023-09-11,9.737,9.777,9.837,9.707,654486.0,0
2023-09-12,9.787,9.717,9.787,9.687,495485.0,0
2023-09-13,9.727,9.687,9.757,9.647,490218.0,0
2023-09-14,9.717,9.727,9.767,9.687,551650.0,0
2023-09-15,9.787,9.657,9.837,9.637,890476.0,0
2023-09-18,9.657,9.667,9.677,9.577,501325.0,0
2023-09-19,9.657,9.647,9.667,9.597,503664.0,0
2023-09-20,9.637,9.587,9.657,9.587,558872.0,0
2023-09-21,9.577,9.487,9.577,9.477,843930.0,0
2023-09-22,9.467,9.677,9.687,9.467,911484.0,0
2023-09-25,9.677,9.657,9.757,9.627,761211.0,0
2023-09-26,9.657,9.597,9.697,9.577,444980.0,0
2023-09-27,9.587,9.607,9.657,9.587,490311.0,0
2023-09-28,9.627,9.637,9.677,9.617,520697.0,0
2023-10-09,9.597,9.547,9.607,9.497,695828.0,0
2023-10-10,9.627,9.457,9.637,9.457,820749.0,0
2023-10-11,9.527,9.417,9.527,9.397,724116.0,0
2023-10-12,9.547,9.547,9.597,9.477,853058.0,0
2023-10-13,9.467,9.437,9.507,9.387,684483.0,0
2023-10-16,9.437,9.447,9.467,9.387,501624.0,0
2023-10-17,9.447,9.457,9.487,9.397,493525.0,0
2023-10-18,9.427,9.387,9.457,9.347,651825.0,0
2023-10-19,9.347,9.037,9.357,9.027,1188961.0,0
2023-10-20,8.987,9.037,9.107,8.947,526139.0,0
2023-10-23,9.027,8.937,9.037,8.867,530404.0,0
2023-10-24,8.977,8.987,9.047,8.877,760653.0,0
2023-10-25,8.947,8.817,8.977,8.797,1411450.0,0
2023-10-26,8.747,8.847,8.857,8.737,599991.0,0
2023-10-27,8.817,8.887,8.917,8.767,919771.0,0
2023-10-30,8.837,8.887,8.907,8.787,805690.0,0
2023-10-31,8.867,8.897,8.927,8.847,652855.0,0
2023-11-01,8.987,8.917,8.997,8.887,567300.0,0
2023-11-02,8.937,8.917,9.037,8.907,619430.0,0
2023-11-03,8.927,8.917,8.957,8.867,705463.0,0
2023-11-06,8.947,9.127,9.127,8.947,1007062.0,0
2023-11-07,9.097,9.037,9.097,9.017,640866.0,0
2023-11-08,9.017,8.937,9.037,8.887,877819.0,0
2023-11-09,8.897,8.927,8.957,8.867,639136.0,0
2023-11-10,8.887,8.737,8.907,8.727,1045044.0,0
2023-11-13,8.747,8.687,8.767,8.657,770043.0,0
2023-11-14,8.677,8.707,8.767,8.667,596859.0,0
2023-11-15,8.807,8.807,8.887,8.777,1109140.0,0
2023-11-16,8.817,8.677,8.827,8.667,922622.0,0
2023-11-17,8.657,8.587,8.687,8.557,903362.0,0
2023-11-20,8.587,8.627,8.657,8.537,639528.0,0
2023-11-21,8.667,8.717,8.787,8.657,1041166.0,0
2023-11-22,8.697,8.597,8.747,8.577,737490.0,0
2023-11-23,8.587,8.587,8.597,8.507,846656.0,0
2023-11-24,8.547,8.537,8.567,8.517,684695.0,0
2023-11-27,8.527,8.447,8.527,8.407,836188.0,0
2023-11-28,8.427,8.387,8.457,8.387,786175.0,0
2023-11-29,8.387,8.157,8.407,8.137,1467597.0,0
2023-11-30,8.127,8.117,8.167,8.057,901765.0,0
2023-12-01,8.087,8.097,8.117,8.017,778057.0,0
2023-12-04,8.107,8.067,8.117,8.047,605438.0,0
2023-12-05,8.047,7.917,8.057,7.907,787378.0,0
2023-12-06,7.877,7.937,8.007,7.837,753056.0,0
2023-12-07,7.927,7.877,7.927,7.817,585380.0,0
2023-12-08,7.847,7.737,7.887,7.737,1021152.0,0
2023-12-11,7.657,7.787,7.817,7.567,1133663.0,0
2023-12-12,7.747,7.857,7.937,7.737,855016.0,0
2023-12-13,7.817,7.597,7.827,7.587,1061302.0,0
2023-12-14,7.647,7.587,7.717,7.587,742901.0,0
2023-12-15,7.637,7.647,7.787,7.627,988939.0,0
2023-12-18,7.617,7.567,7.677,7.527,654426.0,0
2023-12-19,7.557,7.537,7.607,7.507,644071.0,0
2023-12-20,7.547,7.467,7.587,7.467,715634.0,0
2023-12-21,7.447,7.607,7.627,7.427,1017047.0,0
2023-12-22,7.627,7.637,7.717,7.547,1005645.0,0
2023-12-25,7.617,7.627,7.637,7.577,413971.0,0
2023-12-26,7.627,7.537,7.637,7.507,541896.0,0
2023-12-27,7.537,7.557,7.567,7.457,641534.0,0
2023-12-28,7.547,7.887,7.907,7.517,1661592.0,0
2023-12-29,7.857,7.827,7.917,7.787,853853.0,0
2024-01-02,7.827,7.647,7.857,7.647,1158366.0,0
2024-01-03,7.627,7.637,7.657,7.587,733610.0,0
2024-01-04,7.627,7.547,7.627,7.517,864194.0,0
2024-01-05,7.537,7.707,7.877,7.507,1991622.0,0
2024-01-08,7.667,7.587,7.737,7.547,1121156.0,0
2024-01-09,7.597,7.617,7.627,7.527,766194.0,0
2024-01-10,7.597,7.527,7.627,7.527,858621.0,0
2024-01-11,7.517,7.607,7.657,7.467,934686.0,0
2024-01-12,7.567,7.627,7.707,7.547,772582.0,0
2024-01-15,7.597,7.647,7.727,7.567,745133.0,0
2024-01-16,7.627,7.777,7.787,7.597,1438313.0,0
2024-01-17,7.767,7.667,7.827,7.667,1482296.0,0
2024-01-18,7.647,7.637,7.677,7.437,1755132.0,0
2024-01-19,7.597,7.607,7.637,7.537,963981.0,0
2024-01-22,7.597,7.537,7.697,7.477,1580320.0,0
2024-01-23,7.487,7.597,7.617,7.397,1135545.0,0
2024-01-24,7.667,7.767,7.777,7.507,1759123.0,0
2024-01-25,7.767,7.937,7.977,7.707,2162514.0,0
2024-01-26,7.907,8.057,8.107,7.877,2272287.0,0
2024-01-29,8.127,8.137,8.317,8.017,2376252.0,0
2024-01-30,8.047,7.937,8.137,7.927,1579122.0,0
2024-01-31,7.897,7.897,7.997,7.817,1357217.0,0
2024-02-01,7.847,7.847,7.917,7.777,1055260.0,0
2024-02-02,7.857,7.707,7.907,7.507,1634214.0,0
2024-02-05,7.627,7.817,7.867,7.547,1803592.0,0
2024-02-06,7.737,8.117,8.117,7.727,1995410.0,0
2024-02-07,8.057,8.047,8.107,7.917,2062015.0,0
2024-02-08,8.017,8.107,8.107,7.957,1656814.0,0
2024-02-19,8.197,8.247,8.247,8.087,1605243.0,0
2024-02-20,8.227,8.257,8.277,8.167,1123564.0,0
2024-02-21,8.217,9.237,9.237,8.207,5055285.0,0
2024-02-22,9.087,9.337,9.347,9.057,4922325.0,0
2024-02-23,9.317,9.287,9.677,9.277,3567480.0,0
2024-02-26,9.217,8.967,9.317,8.937,2862609.0,0
2024-02-27,8.927,8.937,9.037,8.897,1981905.0,0
2024-02-28,8.947,8.927,9.137,8.837,3082693.0,0
2024-02-29,8.857,9.027,9.027,8.847,1845344.0,0
2024-03-01,9.027,8.927,9.037,8.867,1828103.0,0
2024-03-04,8.887,8.767,8.937,8.757,1655930.0,0
2024-03-05,8.737,8.867,8.907,8.697,1817319.0,0
2024-03-06,8.837,8.767,8.887,8.767,1345640.0,0
2024-03-07,8.767,8.817,9.077,8.767,2016166.0,0
2024-03-08,8.787,8.817,8.877,8.737,1113974.0,0
2024-03-11,8.817,8.907,8.907,8.777,1210673.0,0
2024-03-12,8.917,8.997,9.027,8.847,1641262.0,0
2024-03-13,8.967,8.767,8.987,8.737,1768039.0,0
2024-03-14,8.737,8.667,8.817,8.637,1409400.0,0
