date,open,close,high,low,volume,amount
2025-10-14,6.57,6.53,6.69,6.52,1913064.0,0
2025-10-15,6.52,6.49,6.57,6.42,1766066.0,0
2025-10-16,6.47,6.4,6.48,6.38,1434724.0,0
2025-10-17,6.39,6.32,6.43,6.31,1429013.0,0
2025-10-20,6.33,6.34,6.35,6.3,868613.0,0
2025-10-21,6.33,6.4,6.41,6.31,1019035.0,0
2025-10-22,6.36,6.38,6.44,6.35,780302.0,0
2025-10-23,6.41,6.38,6.43,6.33,753669.0,0
2025-10-24,6.36,6.36,6.39,6.34,738579.0,0
2025-10-27,6.37,6.32,6.38,6.31,1053944.0,0
2025-10-28,6.32,6.27,6.33,6.26,917900.0,0
2025-10-29,6.26,6.31,6.32,6.24,857161.0,0
2025-10-30,6.31,6.27,6.32,6.26,737459.0,0
2025-10-31,6.24,6.27,6.3,6.2,845102.0,0
2025-11-03,6.28,6.3,6.32,6.26,689571.0,0
2025-11-04,6.28,6.23,6.3,6.21,1077373.0,0
2025-11-05,6.2,6.22,6.24,6.16,692007.0,0
2025-11-06,6.2,6.18,6.22,6.17,889219.0,0
2025-11-07,6.17,6.18,6.22,6.15,733082.0,0
2025-11-10,6.17,6.26,6.26,6.16,1031199.0,0
2025-11-11,6.24,6.28,6.31,6.23,906105.0,0
2025-11-12,6.31,6.26,6.33,6.24,860611.0,0
2025-11-13,6.24,6.28,6.28,6.22,763516.0,0
2025-11-14,6.25,6.27,6.32,6.25,1182181.0,0
2025-11-17,6.25,6.26,6.29,6.24,841325.0,0
2025-11-18,6.26,6.13,6.27,6.12,1461831.0,0
2025-11-19,6.12,6.06,6.13,6.04,1024094.0,0
2025-11-20,6.06,6.2,6.29,6.02,1962248.0,0
2025-11-21,6.12,6.06,6.19,6.06,1231019.0,0
2025-11-24,6.06,6.04,6.13,6.04,1006978.0,0
2025-11-25,6.05,6.04,6.1,6.01,960658.0,0
2025-11-26,6.03,5.89,6.06,5.88,2005217.0,0
2025-11-27,5.6,5.47,5.65,5.37,3961433.0,0
2025-11-28,5.41,5.38,5.48,5.27,2953636.0,0
2025-12-01,5.3,5.2,5.34,5.17,3212116.0,0
2025-12-02,5.24,5.2,5.26,5.18,1686909.0,0
2025-12-03,5.22,5.01,5.23,5.0,2792336.0,0
2025-12-04,4.96,4.97,5.07,4.91,2620009.0,0
2025-12-05,4.94,4.95,4.97,4.81,3180996.0,0
2025-12-08,4.9,4.91,4.98,4.9,1954118.0,0
2025-12-09,4.89,4.77,4.93,4.76,2356613.0,0
2025-12-10,4.76,5.25,5.25,4.7,6362121.0,0
2025-12-11,5.18,5.07,5.25,5.04,5461724.0,0
2025-12-12,5.13,5.02,5.21,5.01,3356577.0,0
2025-12-15,4.9,4.87,4.94,4.8,2564035.0,0
2025-12-16,4.88,4.97,5.05,4.87,2765723.0,0
2025-12-17,4.92,4.96,4.97,4.84,1988572.0,0
2025-12-18,4.9,4.87,4.95,4.83,1761638.0,0
2025-12-19,4.85,4.9,4.94,4.84,1665843.0,0
2025-12-22,4.88,4.93,4.97,4.85,1554196.0,0
2025-12-23,4.88,4.79,4.9,4.77,2072433.0,0
2025-12-24,4.76,4.76,4.8,4.76,1154243.0,0
2025-12-25,4.79,4.79,4.8,4.75,1086266.0,0
2025-12-26,4.77,4.77,4.81,4.76,1241793.0,0
2025-12-29,4.75,4.74,4.79,4.72,1205455.0,0
2025-12-30,4.72,4.62,4.73,4.62,1517366.0,0
2025-12-31,4.66,4.65,4.68,4.62,1075561.0,0
2026-01-05,4.64,4.75,4.78,4.63,1938535.0,0
2026-01-06,4.73,4.83,4.86,4.72,2252376.0,0
2026-01-07,4.81,4.73,4.86,4.73,1582444.0,0
2026-01-08,4.73,4.9,5.0,4.69,3119901.0,0
2026-01-09,4.87,4.96,5.04,4.81,2626711.0,0
2026-01-12,4.89,4.88,4.93,4.85,1990730.0,0
2026-01-13,4.87,4.83,4.97,4.82,1950981.0,0
2026-01-14,4.82,4.69,4.85,4.69,2798384.0,0
2026-01-15,4.71,4.85,4.96,4.71,3195562.0,0
2026-01-16,4.85,4.73,4.86,4.72,2093046.0,0
2026-01-19,4.7,4.73,4.77,4.68,1168450.0,0
2026-01-20,4.71,4.79,4.85,4.7,2102006.0,0
2026-01-21,4.86,5.01,5.11,4.81,5117860.0,0
2026-01-22,5.01,4.95,5.02,4.92,2918103.0,0
2026-01-23,4.97,4.95,4.98,4.89,2602180.0,0
2026-01-26,4.92,4.82,4.97,4.81,2709822.0,0
2026-01-27,4.81,4.75,4.83,4.72,1745654.0,0
2026-01-28,4.88,4.86,4.93,4.81,2799208.0,0
2026-01-29,4.82,5.13,5.18,4.77,6052434.0,0
2026-01-30,5.06,4.88,5.07,4.88,3740525.0,0
2026-02-02,4.7,4.68,4.8,4.66,3010157.0,0
2026-02-03,4.72,4.7,4.77,4.67,1640340.0,0
2026-02-04,4.68,4.9,4.92,4.67,3532548.0,0
2026-02-05,4.86,4.88,4.92,4.84,2140934.0,0
2026-02-06,4.82,4.81,4.86,4.78,1625126.0,0
2026-02-09,4.83,4.96,5.07,4.83,2818485.0,0
2026-02-10,4.97,4.88,4.98,4.87,1619555.0,0
2026-02-11,4.88,4.89,4.91,4.83,1359966.0,0
2026-02-12,4.93,4.92,5.06,4.92,2948565.0,0
2026-02-13,4.95,4.97,4.99,4.88,2245732.0,0
